...1,spotify_id,youtube_id,project_name,artist,project_type,tracks,year,rating,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,explicit
0,1B5Lwt0D1ZetRreaCBYobP,GMKfsj1fg5g,all day,girl talk,album,14,2008,8,0.04138,0.7172857142857143,0.7639285714285714,0.00376572,0.22634285714285715,-7.810714285714286,0.15567857142857144,0.677,124.62535714285714,1
1,20r762YmB5HeofjMCiPMLv,Jo4S2qlQGs0,my beautiful dark twisted fantasy,kanye west,album,13,2010,6,0.18744307692307693,0.5227692307692308,0.6809384615384615,0.04737700769230769,0.3933846153846154,-5.939923076923077,0.13126153846153846,0.3647153846153846,111.95192307692308,1
2,35tQBmq1RblVUzAvfsw5uO,AyzpDXRVbwA,scary monsters and nice sprites,skrillex,ep,9,2010,7,0.04309344444444445,0.6562222222222223,0.8507777777777777,0.12899827222222224,0.21396666666666667,-3.637777777777778,0.1625888888888889,0.4885555555555556,132.24177777777777,0.1111111111111111
3,0X7WyEKdm5afGj1fmD7Blx,lVj-lS3bfUc,broken bells,broken bells,ep,10,2010,5,0.193316,0.56588,0.62548,0.1175110852,0.190348,-6.65112,0.0326,0.47356,128.20384,0
4,5zi7WsKlIiUXv09tbGLKsE,_2RPGAA6p4E,bastard,"tyler, the creator",album,12,2019,7,0.24117916666666667,0.46525,0.5845,0.027037469166666665,0.357,-8.929833333333333,0.14345833333333333,0.3379833333333333,106.011,0.8333333333333334
5,1JvYBgt86ujXdSWnuw5lhX,EZOQBqCPQHc,777 volume one,tonetta,album,1,2022,6,0.82,0.744,0.842,0,0.126,-7.425,0.145,0.814,125.065,1
6,6bdtdT3obm7tppjz22SpOY,S0igfnHzYwM,"""not in love"" ft. robert smith",crystal castles,track,8,2021,9,0.046347625,0.4855,0.71575,0.15512351,0.2114875,-6.2783750000000005,0.0391125,0.5885,96.556625,0.125
7,53mU2L8Ngi8zFAD9JoXNqx,LwDNWYvFpYs,sex dreams and denim jeans,uffie,album,16,2010,2,0.1986953125,0.747375,0.7468125,0.0054666293749999996,0.22318125,-5.2579375,0.10003125,0.6270749999999999,128.4598125,0
8,7Mn0aXVHjaoFZPKLssqI9d,Q8Jp4U2BBnI,king of the beach,wavves,album,12,2010,8,0.0036185,0.37216666666666665,0.8495,0.09371905083333333,0.22433333333333333,-3.9810833333333333,0.08745833333333333,0.33858333333333335,142.09691666666666,0
9,0C4ZMhVs0I7bHbRdsBWpDV,z1ahI9rAFgU,unsilent death,nails,album,15,2010,9,2.7146666666666666e-6,0.23993333333333333,0.93966666666666665,0.8522666666666666,0.30393333333333333,-5.512066666666667,0.11953333333333334,0.17455333333333334,110.1492,0.6666666666666666
